buying_sight,buying_transfer,currency_id,currency_name_eng,mid_rate,period,selling
,0.3880000,RUB,RUSSIAN FEDERATION : RUBLE (RUB) ,0.3898000,2024-02-08,0.3916000
,0.0014550,VND,VIET NAM : DONG(VND) ,0.0014620,2024-02-08,0.0014680
,1.1502000,EGP,EGYPT : EGYPTIAN POUND (EGP) ,1.1555000,2024-02-08,1.1607000
,8.8153000,PLN,POLAND : ZLOTY (PLN) ,8.8558000,2024-02-08,8.8963000
,0.1135000,LKR,SRI LANKA : SRI LANKA RUPEE (LKR) ,0.1141000,2024-02-08,0.1146000
,0.0271000,IQD,IRAQ : IRAQI DINAR (IQD) ,0.0273000,2024-02-08,0.0274000
,94.2698000,BHD,BAHRAIN : BAHRAIN DINAR (BHD) ,94.7031000,2024-02-08,95.1363000
,92.3109000,OMR,OMAN : RIAL OMANI (OMR) ,92.7352000,2024-02-08,93.1595000
,50.1124000,JOD,JORDAN : JORDANIAN DINAR (JOD) ,50.3427000,2024-02-08,50.5730000
,9.7462000,QAR,QATAR : QATARI RIAL (QAR) ,9.7910000,2024-02-08,9.8358000
,2.2988000,MVR,MALDIVES : RUFIYAA (MVR) ,2.3094000,2024-02-08,2.3199000
,0.2677000,NPR,NEPAL : NEPALESE RUPEE (NPR) ,0.2690000,2024-02-08,0.2702000
,9.4855000,PGK,PAPUA NEW GUINEA : KINA (PGK) ,9.5291000,2024-02-08,9.5727000
,9.7239000,ILS,ISRAEL : NEW ISRAELI SHEKEL (ILS) ,9.7686000,2024-02-08,9.8132000
,0.0986000,HUF,HUNGARY : FORINT (HUF) ,0.0991000,2024-02-08,0.0995000
35.2772000,35.3663000,USD,USA : DOLLAR (USD) ,35.5297000,2024-02-07,35.6930000
44.2472000,44.3772000,GBP,UNITED KINGDOM : POUND STERING (GBP),44.8045000,2024-02-07,45.2317000
37.7579000,37.8566000,EUR,EURO ZONE : EURO (EUR),38.2259000,2024-02-07,38.5951000
23.5871000,23.6951000,JPY,JAPAN : YEN (100 YEN) (JPY) ,24.0442000,2024-02-07,24.3932000
4.4880000,4.5034000,HKD,HONG KONG : DOLLAR (HKD),4.5451000,2024-02-07,4.5867000
7.3191000,7.3589000,MYR,MALAYSIA : RINGGIT (MYR),7.4625000,2024-02-07,7.5661000
26.1055000,26.1761000,SGD,SINGAPORE : DOLLAR (SGD),26.4623000,2024-02-07,26.7484000
26.0034000,26.0934000,BND,BRUNEI : DOLLAR (BND) ,26.4719000,2024-02-07,26.8504000
0.6081000,0.6132000,PHP,PHILIPPINES : PESO (PHP) ,0.6319000,2024-02-07,0.6506000
2.0813000,2.1686000,IDR,"INDONESIA : RUPIAH (1,000 RUPIAH) (IDR)",2.2716000,2024-02-07,2.3746000
0.3943000,0.3974000,INR,INDIA : RUPEE (INR),0.4299000,2024-02-07,0.4623000
40.4019000,40.5000000,CHF,SWITZERLAND : FRANC (CHF) ,40.8554000,2024-02-07,41.2107000
22.7133000,22.7796000,AUD,AUSTRALIA : DOLLAR (AUD) ,23.1924000,2024-02-07,23.6051000
21.3068000,21.3685000,NZD,NEW ZEALAND : DOLLAR (NZD),21.6881000,2024-02-07,22.0076000
,0.1266000,PKR,PAKISTAN : RUPEE (PKR),0.1272000,2024-02-07,0.1277000
25.9964000,26.0733000,CAD,CANADA : DOLLAR (CAD),26.3477000,2024-02-07,26.6220000
3.3360000,3.3512000,SEK,SWEDEN : KRONA (SEK),3.3860000,2024-02-07,3.4208000
5.0655000,5.0820000,DKK,DENMARK : KRONE (DKK) ,5.1284000,2024-02-07,5.1748000
3.3050000,3.3174000,NOK,NORWAY : KRONE (NOK),3.3555000,2024-02-07,3.3935000
4.8397000,4.8741000,CNY,CHINA : YUAN RENMINBI (CNY),4.9439000,2024-02-07,5.0136000
,2.0759000,MXN,MEXICO : PESO (MXN),2.0855000,2024-02-07,2.0950000
,1.8774000,ZAR,SOUTH AFRICA : RAND (ZAR),1.8861000,2024-02-07,1.8948000
,0.0168000,MMK,MYANMAR : KYAT (MMK) ,0.0169000,2024-02-07,0.0170000
,0.0266000,KRW,SOUTH KOREA : WON (KRW) ,0.0268000,2024-02-07,0.0269000
,1.1299000,TWD,TAIWAN : DOLLAR (TWD),1.1352000,2024-02-07,1.1404000
,114.9003000,KWD,KUWAIT : DINAR (KWD) ,115.4310000,2024-02-07,115.9617000
,9.4305000,SAR,SAUDI ARABIA : RIYAL (SAR),9.4741000,2024-02-07,9.5176000
,9.6290000,AED,UNITED ARAB EMIRATES : DIRHAM (AED),9.6735000,2024-02-07,9.7179000
,0.3222000,BDT,BANGLADESH : TAKA (BDT),0.3237000,2024-02-07,0.3252000
,1.5259000,CZK,CZECH REPUBLIC : KORUNA (CZK),1.5330000,2024-02-07,1.5400000
,0.0086660,KHR,CAMBODIA : RIEL(KHR) ,0.0087060,2024-02-07,0.0087460
,0.2204000,KES,KENYA : SHILLING (KES) ,0.2214000,2024-02-07,0.2224000
,0.0016990,LAK,LAO PEOPLE'S DEMOCRATIC REPUBLIC : KIP(LAK),0.0017070,2024-02-07,0.0017150
,0.3907000,RUB,RUSSIAN FEDERATION : RUBLE (RUB) ,0.3925000,2024-02-07,0.3943000
,0.0014510,VND,VIET NAM : DONG(VND) ,0.0014580,2024-02-07,0.0014650
,1.1445000,EGP,EGYPT : EGYPTIAN POUND (EGP) ,1.1498000,2024-02-07,1.1551000
,8.7452000,PLN,POLAND : ZLOTY (PLN) ,8.7856000,2024-02-07,8.8259000
,0.1127000,LKR,SRI LANKA : SRI LANKA RUPEE (LKR) ,0.1133000,2024-02-07,0.1138000
,0.0270000,IQD,IRAQ : IRAQI DINAR (IQD) ,0.0271000,2024-02-07,0.0272000
,93.8098000,BHD,BAHRAIN : BAHRAIN DINAR (BHD) ,94.2431000,2024-02-07,94.6764000
,91.8605000,OMR,OMAN : RIAL OMANI (OMR) ,92.2848000,2024-02-07,92.7091000
,49.8679000,JOD,JORDAN : JORDANIAN DINAR (JOD) ,50.0982000,2024-02-07,50.3285000
,9.7014000,QAR,QATAR : QATARI RIAL (QAR) ,9.7462000,2024-02-07,9.7910000
,2.2876000,MVR,MALDIVES : RUFIYAA (MVR) ,2.2982000,2024-02-07,2.3087000
,0.2661000,NPR,NEPAL : NEPALESE RUPEE (NPR) ,0.2674000,2024-02-07,0.2686000
,9.4393000,PGK,PAPUA NEW GUINEA : KINA (PGK) ,9.4829000,2024-02-07,9.5265000
,9.7011000,ILS,ISRAEL : NEW ISRAELI SHEKEL (ILS) ,9.7459000,2024-02-07,9.7907000
,0.0985000,HUF,HUNGARY : FORINT (HUF) ,0.0990000,2024-02-07,0.0994000
35.4520000,35.5484000,USD,USA : DOLLAR (USD) ,35.7123000,2024-02-06,35.8761000
44.2571000,44.3916000,GBP,UNITED KINGDOM : POUND STERING (GBP),44.8190000,2024-02-06,45.2464000
37.9092000,38.0127000,EUR,EURO ZONE : EURO (EUR),38.3800000,2024-02-06,38.7473000
23.6156000,23.7183000,JPY,JAPAN : YEN (100 YEN) (JPY) ,24.0615000,2024-02-06,24.4047000
4.5100000,4.5260000,HKD,HONG KONG : DOLLAR (HKD),4.5689000,2024-02-06,4.6118000
7.3651000,7.3986000,MYR,MALAYSIA : RINGGIT (MYR),7.5019000,2024-02-06,7.6052000
26.1813000,26.2574000,SGD,SINGAPORE : DOLLAR (SGD),26.5487000,2024-02-06,26.8399000
26.0779000,26.1679000,BND,BRUNEI : DOLLAR (BND) ,26.5460000,2024-02-06,26.9241000
0.6083000,0.6120000,PHP,PHILIPPINES : PESO (PHP) ,0.6332000,2024-02-06,0.6543000
2.1263000,2.1797000,IDR,"INDONESIA : RUPIAH (1,000 RUPIAH) (IDR)",2.2770000,2024-02-06,2.3742000
0.4079000,0.4105000,INR,INDIA : RUPEE (INR),0.4355000,2024-02-06,0.4604000
40.5675000,40.6788000,CHF,SWITZERLAND : FRANC (CHF) ,41.0408000,2024-02-06,41.4028000
22.7305000,22.7985000,AUD,AUSTRALIA : DOLLAR (AUD) ,23.2100000,2024-02-06,23.6214000
21.2755000,21.3374000,NZD,NEW ZEALAND : DOLLAR (NZD),21.6608000,2024-02-06,21.9842000
,0.1283000,PKR,PAKISTAN : RUPEE (PKR),0.1289000,2024-02-06,0.1295000
26.0557000,26.1288000,CAD,CANADA : DOLLAR (CAD),26.4070000,2024-02-06,26.6852000
3.3229000,3.3371000,SEK,SWEDEN : KRONA (SEK),3.3726000,2024-02-06,3.4080000
5.0848000,5.1006000,DKK,DENMARK : KRONE (DKK) ,5.1488000,2024-02-06,5.1970000
3.2933000,3.3049000,NOK,NORWAY : KRONE (NOK),3.3437000,2024-02-06,3.3825000
4.8591000,4.8931000,CNY,CHINA : YUAN RENMINBI (CNY),4.9618000,2024-02-06,5.0304000
,2.0758000,MXN,MEXICO : PESO (MXN),2.0854000,2024-02-06,2.0950000
,1.8641000,ZAR,SOUTH AFRICA : RAND (ZAR),1.8727000,2024-02-06,1.8813000
,0.0169000,MMK,MYANMAR : KYAT (MMK) ,0.0170000,2024-02-06,0.0171000
,0.0266000,KRW,SOUTH KOREA : WON (KRW) ,0.0268000,2024-02-06,0.0269000
,1.1315000,TWD,TAIWAN : DOLLAR (TWD),1.1367000,2024-02-06,1.1419000
,115.4544000,KWD,KUWAIT : DINAR (KWD) ,115.9866000,2024-02-06,116.5187000
,9.4791000,SAR,SAUDI ARABIA : RIYAL (SAR),9.5228000,2024-02-06,9.5664000
,9.6786000,AED,UNITED ARAB EMIRATES : DIRHAM (AED),9.7232000,2024-02-06,9.7678000
,0.3239000,BDT,BANGLADESH : TAKA (BDT),0.3254000,2024-02-06,0.3269000
,1.5297000,CZK,CZECH REPUBLIC : KORUNA (CZK),1.5368000,2024-02-06,1.5438000
,0.0087110,KHR,CAMBODIA : RIEL(KHR) ,0.0087510,2024-02-06,0.0087910
,0.2215000,KES,KENYA : SHILLING (KES) ,0.2225000,2024-02-06,0.2235000
,0.0017080,LAK,LAO PEOPLE'S DEMOCRATIC REPUBLIC : KIP(LAK),0.0017160,2024-02-06,0.0017240
,0.3926000,RUB,RUSSIAN FEDERATION : RUBLE (RUB) ,0.3944000,2024-02-06,0.3962000
,0.0014580,VND,VIET NAM : DONG(VND) ,0.0014650,2024-02-06,0.0014710
,1.1504000,EGP,EGYPT : EGYPTIAN POUND (EGP) ,1.1557000,2024-02-06,1.1610000
,8.7948000,PLN,POLAND : ZLOTY (PLN) ,8.8353000,2024-02-06,8.8758000
,0.1137000,LKR,SRI LANKA : SRI LANKA RUPEE (LKR) ,0.1143000,2024-02-06,0.1148000
,0.0271000,IQD,IRAQ : IRAQI DINAR (IQD) ,0.0273000,2024-02-06,0.0274000
,94.2928000,BHD,BAHRAIN : BAHRAIN DINAR (BHD) ,94.7275000,2024-02-06,95.1621000
,92.3335000,OMR,OMAN : RIAL OMANI (OMR) ,92.7591000,2024-02-06,93.1847000
,50.1176000,JOD,JORDAN : JORDANIAN DINAR (JOD) ,50.3486000,2024-02-06,50.5796000
,9.7513000,QAR,QATAR : QATARI RIAL (QAR) ,9.7963000,2024-02-06,9.8412000
,2.2994000,MVR,MALDIVES : RUFIYAA (MVR) ,2.3100000,2024-02-06,2.3206000
,0.2675000,NPR,NEPAL : NEPALESE RUPEE (NPR) ,0.2688000,2024-02-06,0.2700000
,9.4914000,PGK,PAPUA NEW GUINEA : KINA (PGK) ,9.5352000,2024-02-06,9.5789000
,9.6894000,ILS,ISRAEL : NEW ISRAELI SHEKEL (ILS) ,9.7341000,2024-02-06,9.7787000
,0.0988000,HUF,HUNGARY : FORINT (HUF) ,0.0993000,2024-02-06,0.0997000
